,0,1,2,3,4,5,6
56,Vikram Vedha,(2017),---,147 min,"Action, Crime, Drama",8.2,"
Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
57,Paan Singh Tomar,(2012),---,135 min,"Action, Biography, Crime",8.2,"
The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
58,Prisoners,(2013),15A,153 min,"Crime, Drama, Mystery",8.1,"
When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
59,Mad Max: Fury Road,(2015),15+,120 min,"Action, Adventure, Sci-Fi",8.1,"
In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
60,Blade Runner,(1982),18+,117 min,"Action, Drama, Sci-Fi",8.1,"
A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator."
61,Gone Girl,(2014),18+,149 min,"Drama, Mystery, Thriller",8.1,"
With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
62,Ah-ga-ssi,(2016),18+,145 min,"Drama, Romance, Thriller",8.1,"
A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
63,Jaws,(1975),16+,124 min,"Adventure, Mystery, Thriller",8.1,"
When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
64,Logan,(2017),15+,137 min,"Action, Drama, Sci-Fi",8.1,"
In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
65,Fargo,(1996),15+,98 min,"Crime, Thriller",8.1,"
Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson."
66,Room,(I) (2015),13A,118 min,"Drama, Thriller",8.1,"
A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
67,Salinui chueok,(2003),---,131 min,"Crime, Drama, Mystery",8.1,"
In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
68,Relatos salvajes,(2014),15+,122 min,"Comedy, Drama, Thriller",8.1,"
Six short stories that explore the extremities of human behavior involving people in distress."
69,Amores perros,(2000),18+,154 min,"Drama, Thriller",8.1,"
A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
70,Rebecca,(1940),---,130 min,"Drama, Film-Noir, Mystery",8.1,"
A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence."
71,Persona,(1966),7+,85 min,"Drama, Thriller",8.1,"
A nurse is put in charge of a mute actress and finds that their personae are melding together."
72,The Third Man,(1949),---,104 min,"Film-Noir, Mystery, Thriller",8.1,"
Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
73,On the Waterfront,(1954),13+,108 min,"Crime, Drama, Thriller",8.1,"
An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
74,Les diaboliques,(1955),---,117 min,"Crime, Drama, Horror",8.1,"
The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi."
