,0,1,2,3,4,5,6
50,Groundhog Day,(1993),7+,101 min,"Comedy, Drama, Fantasy",8.0,"
A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
51,The Maltese Falcon,(1941),---,100 min,"Crime, Film-Noir, Mystery",8.0,"
San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
52,Beauty and the Beast,(1991),G,84 min,"Animation, Family, Fantasy",8.0,"
A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love."
53,Big Fish,(2003),G,125 min,"Adventure, Drama, Fantasy",8.0,"
A frustrated son tries to determine the fact from fiction in his dying father's life."
54,Slumdog Millionaire,(2008),7+,120 min,"Crime, Drama, Romance",8.0,"
A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
55,Chung Hing sam lam,(1994),PG-13,102 min,"Comedy, Crime, Drama",8.0,"
Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
56,Annie Hall,(1977),---,93 min,"Comedy, Romance",8.0,"
Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
57,Fiddler on the Roof,(1971),---,181 min,"Drama, Family, Musical",8.0,"
In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
58,Cinderella Man,(2005),7+,144 min,"Biography, Drama, Romance",8.0,"
The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
59,The Last Picture Show,(1971),R,118 min,"Drama, Romance",8.0,"
In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
60,Roman Holiday,(1953),---,118 min,"Comedy, Romance",8.0,"
A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome."
61,Der Himmel über Berlin,(1987),---,128 min,"Drama, Fantasy, Romance",8.0,"
An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
62,La leggenda del pianista sull'oceano,(1998),R,169 min,"Drama, Music, Romance",8.0,"
A baby boy discovered on an ocean liner in 1900 grows into a musical prodigy, never setting foot on land."
63,Out of the Past,(1947),---,97 min,"Crime, Drama, Film-Noir",8.0,"
A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames."
64,Yeopgijeogin geunyeo,(2001),---,137 min,"Comedy, Drama, Romance",8.0,"
A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train."
