,0,1,2,3,4,5,6
58,The Lion in Winter,(1968),---,134 min,"Biography, Drama, History",7.9,"
1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision."
59,In Cold Blood,(1967),---,134 min,"Biography, Crime, Drama",7.9,"
Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers."
60,Super 30,(2019),---,154 min,"Biography, Drama",7.9,"
Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna."
61,M.S. Dhoni: The Untold Story,(2016),---,184 min,"Biography, Drama, Sport",7.9,"
The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team."
62,Tombstone,(1993),13+,130 min,"Biography, Drama, History",7.8,"
A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
63,The Irishman,(2019),16+,209 min,"Biography, Crime, Drama",7.8,"
An illustration of Frank Sheeran's life, from WWII veteran, to hitman for the Bufalino crime family and his alleged assassination of close friend, Jimmy Hoffa."
64,The Big Short,(2015),13+,130 min,"Biography, Comedy, Drama",7.8,"
In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is."
65,The Social Network,(2010),15+,120 min,"Biography, Drama",7.8,"
As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business."
66,Hidden Figures,(2016),7A,127 min,"Biography, Drama, History",7.8,"
The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program."
67,Remember the Titans,(2000),G,113 min,"Biography, Drama, Sport",7.8,"
The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit."
68,American Gangster,(2007),18+,157 min,"Biography, Crime, Drama",7.8,"
An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
69,Thirteen Lives,(2022),16+,147 min,"Action, Adventure, Biography",7.8,"
A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding."
70,Awakenings,(1990),13+,121 min,"Biography, Drama",7.8,"
The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them."
71,Walk the Line,(2005),G,136 min,"Biography, Drama, Music",7.8,"
A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins."
72,Straight Outta Compton,(2015),18+,147 min,"Biography, Drama, History",7.8,"
The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
73,The Fighter,(I) (2010),15+,116 min,"Action, Biography, Drama",7.8,"
Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
74,Captain Phillips,(2013),18+,134 min,"Action, Biography, Crime",7.8,"
The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
75,Glory,(1989),---,122 min,"Biography, Drama, History",7.8,"
Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates."
76,Changeling,(2008),16+,141 min,"Biography, Crime, Drama",7.8,"
Grief-stricken mother Christine Collins takes on the L.A.P.D. to her own detriment when they try to pass off an obvious impostor as her missing child."
77,The Insider,(1999),R,157 min,"Biography, Drama, Thriller",7.8,"
A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco."
78,October Sky,(1999),7+,108 min,"Biography, Drama, Family",7.8,"
The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes."
79,The Right Stuff,(1983),---,193 min,"Adventure, Biography, Drama",7.8,"
The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred."
80,Ed Wood,(1994),15+,127 min,"Biography, Comedy, Drama",7.8,"
Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent."
81,The Killing Fields,(1984),---,141 min,"Biography, Drama, History",7.8,"
A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians."
82,My Left Foot: The Story of Christy Brown,(1989),---,103 min,"Biography, Drama",7.8,"
Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot."
83,Pride,(I) (2014),15A,119 min,"Biography, Comedy, Drama",7.8,"
U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984."
84,Gangubai Kathiawadi,(2022),16+,152 min,"Biography, Crime, Drama",7.8,"
Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in."
85,The World's Fastest Indian,(2005),PG-13,127 min,"Biography, Drama, Sport",7.8,"
The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967."
86,"Aguirre, der Zorn Gottes",(1972),---,95 min,"Action, Adventure, Biography",7.8,"
In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado."
87,Il postino,(1994),PG,108 min,"Biography, Comedy, Drama",7.8,"
A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
88,Bonnie and Clyde,(1967),13+,111 min,"Action, Biography, Crime",7.7,"
Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
89,Argo,(2012),13+,120 min,"Biography, Drama, Thriller",7.7,"
Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
90,Serpico,(1973),18+,130 min,"Biography, Crime, Drama",7.7,"
An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him."
91,The Theory of Everything,(2014),7+,123 min,"Biography, Drama, Romance",7.7,"
A look at the relationship between the famous physicist Stephen Hawking and his wife."
92,Donnie Brasco,(1997),18+,127 min,"Biography, Crime, Drama",7.7,"
An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
93,The Last Emperor,(1987),15+,163 min,"Biography, Drama, History",7.7,"
Dramatization of China's last emperor, Puyi."
94,Malcolm X,(1992),PG-13,202 min,"Biography, Drama, History",7.7,"
Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam."
95,Kaze tachinu,(2013),13+,126 min,"Animation, Biography, Drama",7.7,"
A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
96,Ray,(I) (2004),18+,152 min,"Biography, Drama, Music",7.7,"
The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
97,Finding Neverland,(2004),7A,106 min,"Biography, Drama, Family",7.7,"
The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan."
98,Diarios de motocicleta,(2004),7+,126 min,"Adventure, Biography, Drama",7.7,"
The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling."
99,A Man for All Seasons,(1966),G,120 min,"Biography, Drama, History",7.7,"
The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
100,Frost/Nixon,(2008),R,122 min,"Biography, Drama, History",7.7,"
A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon."
101,Moneyball,(2011),13+,133 min,"Biography, Drama, Sport",7.6,"
Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players."
102,The Blind Side,(2009),13+,129 min,"Biography, Drama, Sport",7.6,"
The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
