,0,1,2,3,4,5,6
52,Coach Carter,(2005),18+,136 min,"Biography, Drama, Sport",7.3,"
Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him."
53,Rocky II,(1979),7A,119 min,"Drama, Sport",7.3,"
Rocky struggles in family life after his bout with Apollo Creed, while the embarrassed champ insistently goads him to accept a challenge for a rematch."
54,Eddie the Eagle,(2015),7+,106 min,"Adventure, Biography, Comedy",7.3,"
The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics."
55,Slap Shot,(1977),---,123 min,"Comedy, Drama, Sport",7.3,"
A failing ice hockey team finds success with outrageously violent hockey goonery."
56,Invictus,(2009),G,134 min,"Action, Adventure, Biography",7.3,"
Nelson Mandela, in his first term as President of South Africa, initiates a unique venture to unite the Apartheid-torn land: enlist the national rugby team on a mission to win the 1995 Rugby World Cup."
57,Seabiscuit,(2003),PG-13,140 min,"Drama, History, Sport",7.3,"
True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation."
58,Siu Lam juk kau,(2001),16+,113 min,"Action, Comedy, Fantasy",7.3,"
A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage."
59,Cars,(2006),G,117 min,"Animation, Adventure, Comedy",7.2,"
On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town, and learns that winning isn't everything in life."
60,Major League,(1989),---,107 min,"Comedy, Sport",7.2,"
The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her."
61,Caddyshack,(1980),---,98 min,"Comedy, Sport",7.2,"
An exclusive golf course has to deal with a brash new member and a destructive dancing gopher."
62,Friday Night Lights,(2004),PG-13,118 min,"Action, Drama, Sport",7.2,"
Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers."
63,Unbroken,(I) (2014),15+,137 min,"Action, Biography, Drama",7.2,"
After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp."
64,Glory Road,(2006),7+,118 min,"Biography, Drama, Sport",7.2,"
In 1966, Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship."
65,Secretariat,(2010),G,123 min,"Biography, Drama, Family",7.2,"
Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown."
66,Peaceful Warrior,(2006),PG-13,120 min,"Drama, Romance, Sport",7.2,"
A chance encounter with a stranger changes the life of a college gymnast."
67,Creed II,(2018),13+,130 min,"Action, Drama, Sport",7.1,"
Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago."
68,Fighting with My Family,(2019),13A,108 min,"Biography, Comedy, Drama",7.1,"
A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment."
69,Rocky Balboa,(2006),PG,102 min,"Action, Drama, Sport",7.1,"
Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon."
70,Chariots of Fire,(1981),---,125 min,"Biography, Drama, Sport",7.1,"
Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience."
71,Lords of Dogtown,(2005),PG-13,107 min,"Biography, Drama, Sport",7.1,"
The film follows the surf and skateboarding trends that originated in Venice, California during the 1970s."
72,Race,(I) (2016),7A,134 min,"Biography, Drama, Sport",7.1,"
Jesse Owens' quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy."
73,Chasing Mavericks,(2012),PG,116 min,"Biography, Drama, Sport",7.1,"
When young Jay Moriarity discovers that the mythic Mavericks surf break, one of the biggest waves on Earth, exists just miles from his Santa Cruz home, he enlists the help of local legend Frosty Hesson to train him to survive it."
74,Concussion,(2015),13A,123 min,"Biography, Drama, Sport",7.1,"
In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play."
75,Gridiron Gang,(2006),13+,125 min,"Biography, Crime, Drama",7.1,"
Teenagers at a juvenile detention center, under the leadership of their counselor, gain self-esteem by playing football together."
76,Win Win,(2011),R,106 min,"Comedy, Drama, Sport",7.1,"
A struggling lawyer and volunteer wrestling coach's chicanery comes back to haunt him when the teenage grandson of the client he has double-crossed comes into his life."
77,Happy Gilmore,(1996),PG-13,92 min,"Comedy, Sport",7.0,"
A rejected hockey player puts his skills to the golf course to save his grandmother's house."
