,0,1,2,3,4,5,6
80,Pitch Perfect,(2012),13+,112 min,"Comedy, Music, Romance",7.1,"
Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
81,Human Traffic,(1999),R,99 min,"Comedy, Music",7.1,"
Five youngsters embrace the 90s clubbing scene on a drug-fuelled weekend of partying in Cardiff."
82,Nowhere Boy,(2009),R,98 min,"Biography, Drama, Music",7.1,"
A chronicle of John Lennon's first years, focused mainly in his adolescence and his relationship with his stern aunt Mimi, who raised him, and his absentee mother Julia, who re-entered his life at a crucial moment in his young life."
83,Fantasia 2000,(1999),---,75 min,"Animation, Family, Fantasy",7.1,"
An update of the original film with new interpretations of great works of classical music."
84,Weird: The Al Yankovic Story,(2022),---,108 min,"Biography, Comedy, Music",7.0,"
Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle."
85,Dirty Dancing,(I) (1987),13+,100 min,"Drama, Music, Romance",7.0,"
Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle."
86,Wayne's World,(1992),PG-13,94 min,"Comedy, Music",7.0,"
Two slacker friends try to promote their public-access cable show."
87,That Thing You Do!,(1996),PG,108 min,"Comedy, Drama, Music",7.0,"
A local Pennsylvania band scores a one-hit wonder in 1964 and rides the star-making machinery as long as they can, with lots of help from their manager."
88,Green Room,(2015),18+,95 min,"Crime, Drama, Horror",7.0,"
A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar."
89,The Dirt,(2019),18+,107 min,"Biography, Comedy, Drama",7.0,"
Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame."
90,Sid and Nancy,(1986),---,112 min,"Biography, Drama, Music",7.0,"
The relationship between Sid Vicious, bassist for British punk group Sex Pistols, and his girlfriend Nancy Spungen is portrayed."
91,Behind the Candelabra,(2013),---,118 min,"Biography, Drama, Music",7.0,"
A chronicle of the tempestuous six-year romance between megastar singer Liberace and his young lover Scott Thorson."
92,Coffee and Cigarettes,(2003),R,95 min,"Comedy, Drama, Music",7.0,"
A series of vignettes that all have coffee and cigarettes in common."
93,Danny Collins,(2015),13+,106 min,"Biography, Comedy, Drama",7.0,"
An aging rock star decides to change his life when he discovers a 40-year-old letter written to him by John Lennon."
94,Aashiqui 2,(2013),---,132 min,"Drama, Music, Musical",7.0,"
Rahul loses his fans and fame due to alcoholism. But he then decides to turn a small time singer into a rising star."
95,Arif V 216,(2018),13A,125 min,"Comedy, Fantasy, Music",7.0,"
After 8 years, Arif's old friend 216 from planet GORA pays a visit to Earth.Together they go on a quest where they'll be visiting 60's."
96,Rio,(2011),G,96 min,"Animation, Adventure, Comedy",6.9,"
When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."
97,Black Snake Moan,(2006),13+,116 min,"Drama, Music",6.9,"
A God-fearing bluesman takes to a wild young woman who, as a victim of childhood sexual abuse, looks everywhere for love, never quite finding it."
98,Blinded by the Light,(2019),13+,118 min,"Comedy, Drama, Music",6.9,"
In England in 1987, a teenager from an Asian family learns to live his life, understand his family and find his own voice through the music of American rock star Bruce Springsteen."
99,The Wedding Singer,(1998),PG-13,97 min,"Comedy, Music, Romance",6.9,"
Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other."
100,Climax,(I) (2018),18+,97 min,"Drama, Horror, Music",6.9,"
French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD."
101,Bill & Ted's Excellent Adventure,(1989),---,90 min,"Adventure, Comedy, Music",6.9,"
Two rock-'n-rolling teens, on the verge of failing their class, are approached by a time machine that helps them make the ultimate history presentation."
102,Up in Smoke,(1978),15+,86 min,"Comedy, Music",6.9,"
Two stoners unknowingly smuggle a van - made entirely of marijuana - from Mexico to L.A., with incompetent Sgt. Stedenko on their trail."
103,Velvet Goldmine,(1998),18+,118 min,"Drama, Music",6.9,"
In 1984, British journalist Arthur Stuart investigates the career of 1970s glam superstar Brian Slade, who was heavily influenced in his early years by hard-living and rebellious American singer Curt Wild."
104,Beaches,(1988),---,123 min,"Comedy, Drama, Music",6.9,"
A privileged rich debutante and a cynical struggling entertainer share a turbulent, but strong childhood friendship over the years."
105,La Bamba,(1987),---,108 min,"Biography, Drama, Music",6.9,"
Biographical story of the rise from nowhere of early rock and roll singer Ritchie Valens who died at age 17 in a plane crash with Buddy Holly and The Big Bopper."
106,Ma Rainey's Black Bottom,(2020),15+,94 min,"Drama, Music",6.9,"
Tensions rise when trailblazing blues singer Ma Rainey and her band gather at a recording studio in Chicago in 1927."
107,Frank,(II) (2014),7+,95 min,"Comedy, Drama, Music",6.9,"
Jon, a young wanna-be musician, discovers he's bitten off more than he can chew when he joins an eccentric pop band led by the mysterious and enigmatic Frank."
108,Get on Up,(2014),PG-13,139 min,"Biography, Drama, Music",6.9,"
A chronicle of James Brown's rise from extreme poverty to become one of the most influential musicians in history."
109,Vengeance,(II) (2022),R,107 min,"Comedy, Music, Mystery",6.8,"
A writer from New York City attempts to solve the murder of a girl he hooked up with and travels down south to investigate the circumstances of her death and discover what happened to her."
110,Yesterday,(III) (2019),13A,116 min,"Comedy, Fantasy, Music",6.8,"
A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate reality where they never existed."
111,Saturday Night Fever,(1977),18+,118 min,"Drama, Music",6.8,"
Anxious about his future after high school, a 19-year-old Italian-American from Brooklyn tries to escape the harsh reality of his bleak family life by dominating the dance floor at the local disco."
112,Tenacious D in The Pick of Destiny,(2006),R,94 min,"Adventure, Comedy, Music",6.8,"
To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum."
113,Meet the Robinsons,(2007),G,95 min,"Animation, Adventure, Comedy",6.8,"
Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate."
114,Selena,(1997),PG,127 min,"Biography, Drama, Music",6.8,"
The true story of Selena, a Texas-born Tejano singer who rose from cult status to performing at the Astrodome, as well as having chart-topping albums on the Latin music charts."
115,Walk Hard: The Dewey Cox Story,(2007),R,96 min,"Comedy, Music",6.8,"
Singer Dewey Cox overcomes adversity to become a musical legend."
116,Judy,(II) (2019),6+,118 min,"Biography, Drama, Music",6.8,"
Legendary performer Judy Garland arrives in London in the winter of 1968 to perform a series of sold-out concerts."
117,Detroit Rock City,(1999),R,95 min,"Adventure, Comedy, Music",6.8,"
In 1978, four rebellious teenagers try to scam their way into a KISS concert."
118,Horton Hears a Who!,(2008),---,86 min,"Animation, Adventure, Comedy",6.8,"
Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists."
119,I'm Not There,(2007),R,135 min,"Biography, Drama, Music",6.8,"
Ruminations on the life of Bob Dylan, where six characters embody a different aspect of the musician's life and work."
120,Florence Foster Jenkins,(2016),13A,111 min,"Biography, Comedy, Drama",6.8,"
The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice."
121,Jersey Boys,(2014),R,134 min,"Biography, Drama, Music",6.8,"
The story of four young men from the wrong side of the tracks in New Jersey who came together to form the iconic 1960s rock group The Four Seasons."
122,Beavis and Butt-Head Do America,(1996),PG-13,81 min,"Animation, Adventure, Comedy",6.8,"
Our intrepid adolescent heroes wake up to find their beloved television stolen, and embark on an epic journey across America to recover it, and, who knows, maybe even score."
123,Empire Records,(1995),PG-13,90 min,"Comedy, Drama, Music",6.7,"
Twenty-four hours in the lives of the young employees at Empire Records when they all grow up and become young adults thanks to each other and the manager. They all face the store joining a chain store with strict rules."
124,Purple Hearts,(2022),16+,122 min,"Drama, Music, Romance",6.7,"
In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur."
125,Singles,(1992),PG-13,99 min,"Comedy, Drama, Music",6.7,"
A group of twenty-something friends search for love and success in grunge-era Seattle."
126,Metal Lords,(2022),18+,97 min,"Comedy, Music",6.7,"
Two friends try to form a heavy metal band with a cellist for a Battle of the Bands."
127,Moxie,(I) (2021),16+,111 min,"Comedy, Drama, Music",6.7,"
Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school."
128,Popstar: Never Stop Never Stopping,(2016),R,87 min,"Comedy, Drama, Music",6.7,"
When it becomes clear that his solo album is a failure, a former boy band member does everything in his power to maintain his celebrity status."
129,If I Stay,(2014),G,107 min,"Drama, Fantasy, Music",6.7,"
Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on."
130,Notorious,(2009),R,122 min,"Biography, Crime, Drama",6.7,"
The life and death story of The Notorious B.I.G. (a.k.a. Christopher Wallace), who came straight out of Brooklyn to take the world of rap music by storm."
131,The Soloist,(2009),PG-13,117 min,"Biography, Drama, Music",6.7,"
A newspaper journalist discovers a homeless musical genius and tries to improve his situation."
132,Taking Woodstock,(2009),R,120 min,"Biography, Comedy, Drama",6.7,"
A man working at his parents' motel in the Catskills inadvertently sets in motion the generation-defining concert in the summer of 1969."
